nodo1,nodo2,sendero,distancia,color,estimate
Av Llano,Glorieta La Grama,rs,1.10,red,0
Av Alfonso Lopez,Av Llano,rs,1.34,red,0
Via Restrepo,Av Alfonso Lopez,rs,1.48,red,0
Via Bogota ,Via Retrepo,rs,0.69,red,0
Cristo Rey ,Via Bogota,rs,4.38,red,0
Concha Acustica,Cristo Rey,rs,1.83,red,0
Parque Infantil,Concha Acustica,rs,4.08,red,0
Catedral Primada,Parque Infantil,rs,2.67,red,0
Parque Central,Catedral Primada,rs,0.65,red,0
Banco de la Republica,Parque Central,rs,0.60,red,0
Almacen Ley,Banco de la Republica,rs,2.99,red,0
Almacen YEP,Almacen Ley,rs,1.65,red,0
